date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:16	296/296	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Oct%202020%2009:49:15%20GMT	http://localhost/robots.txt		(from )
11:49:16	26167/26167	---MC-	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2009:49:16%20GMT	http://localhost/MyPersonalWebsite/	C:/My%20Web%20Sites/test1/localhost/MyPersonalWebsite/index.html	(from )
11:49:16	53907/53907	---M--	200	added ('OK')	text/css	etag:%22d293-5addfb6b23d80%22	http://localhost/MyPersonalWebsite/wp-includes/css/dist/block-library/style.min.css?ver=5.5.1	C:/My%20Web%20Sites/test1/localhost/MyPersonalWebsite/wp-includes/css/dist/block-library/style.mind03b.css	(from http://localhost/MyPersonalWebsite/)
11:49:18	1754/1754	---M--	200	added ('OK')	application/rss+xml	etag:%227904be0245f9e939dfca5deb25b540f6%22	http://localhost/MyPersonalWebsite/feed/	C:/My%20Web%20Sites/test1/localhost/MyPersonalWebsite/feed/index.html	(from http://localhost/MyPersonalWebsite/)
11:49:18	121055/121055	---M--	200	added ('OK')	text/css	etag:%221d8df-5ac87b9d72380%22	http://localhost/MyPersonalWebsite/wp-content/themes/twentytwenty/style.css?ver=1.5	C:/My%20Web%20Sites/test1/localhost/MyPersonalWebsite/wp-content/themes/twentytwenty/style7ef2.css	(from http://localhost/MyPersonalWebsite/)
11:49:18	1702/1702	---M--	200	added ('OK')	application/rss+xml	etag:%227904be0245f9e939dfca5deb25b540f6%22	http://localhost/MyPersonalWebsite/comments/feed/	C:/My%20Web%20Sites/test1/localhost/MyPersonalWebsite/comments/feed/index.html	(from http://localhost/MyPersonalWebsite/)
11:49:20	2574/2574	---M--	200	added ('OK')	text/css	etag:%22a0e-5971146c35d40%22	http://localhost/MyPersonalWebsite/wp-content/themes/twentytwenty/print.css?ver=1.5	C:/My%20Web%20Sites/test1/localhost/MyPersonalWebsite/wp-content/themes/twentytwenty/print7ef2.css	(from http://localhost/MyPersonalWebsite/)
11:49:21	25570/25570	---M--	200	added ('OK')	application/javascript	etag:%2263e2-5a882f9941680%22	http://localhost/MyPersonalWebsite/wp-content/themes/twentytwenty/assets/js/index.js?ver=1.5	C:/My%20Web%20Sites/test1/localhost/MyPersonalWebsite/wp-content/themes/twentytwenty/assets/js/index7ef2.js	(from http://localhost/MyPersonalWebsite/)
11:49:21	870/870	---M--	200	added ('OK')	text/xml	date:Thu,%2015%20Oct%202020%2009:49:21%20GMT	http://localhost/MyPersonalWebsite/xmlrpc.php?rsd	C:/My%20Web%20Sites/test1/localhost/MyPersonalWebsite/xmlrpc0db0.php	(from http://localhost/MyPersonalWebsite/)
11:49:22	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost/MyPersonalWebsite/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/test1/localhost/MyPersonalWebsite/wp-includes/wlwmanifest.xml	(from http://localhost/MyPersonalWebsite/)
11:49:22	6900/6900	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2009:49:22%20GMT	http://localhost/MyPersonalWebsite/wp-login.php	C:/My%20Web%20Sites/test1/localhost/MyPersonalWebsite/wp-login.html	(from http://localhost/MyPersonalWebsite/)
11:49:23	1434/1434	---M--	200	added ('OK')	application/javascript	etag:%2259a-595c52fd2e6c0%22	http://localhost/MyPersonalWebsite/wp-includes/js/wp-embed.min.js?ver=5.5.1	C:/My%20Web%20Sites/test1/localhost/MyPersonalWebsite/wp-includes/js/wp-embed.mind03b.js	(from http://localhost/MyPersonalWebsite/)
